Query id	Subject id
CH482373.1	NC_021334.1
CH482373.1	NC_023580.1
CP001664.1	NC_021334.1
CP001664.1	NC_023580.1
CP010333.1	NC_021334.1
CP010333.1	NC_023580.1
CP015773.2	NC_021334.1
CP015773.2	NC_023580.1
CP021238.1	NC_026588.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_021334.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_021334.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_023580.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_023580.1
mycobacterium_avium_k10_Contig_null.1	KR080194.1
mycobacterium_avium_k10_Contig_null.1	KR080194.1
mycobacterium_avium_k10_Contig_null.1	NC_028934.1
mycobacterium_avium_k10_Contig_null.1	NC_028934.1
mycobacterium_bovis_bcg_Contig_1.1	NC_021334.1
mycobacterium_bovis_bcg_Contig_1.1	NC_021334.1
mycobacterium_bovis_bcg_Contig_1.1	NC_023580.1
mycobacterium_bovis_bcg_Contig_1.1	NC_023580.1
mycobacterium_smegmatis_mc2_155_Contig_1.1	NC_014901.1
mycobacterium_smegmatis_mc2_155_Contig_1.1	NC_014901.1
mycobacterium_smegmatis_mc2_155_Contig_1.1	NC_021308.1
mycobacterium_smegmatis_mc2_155_Contig_1.1	NC_021308.1
mycobacterium_smegmatis_mc2_155_Contig_1.1	NC_023728.1
mycobacterium_smegmatis_mc2_155_Contig_1.1	NC_023728.1
mycobacterium_smegmatis_mc2_155_Contig_1.1	NC_025433.1
mycobacterium_smegmatis_mc2_155_Contig_1.1	NC_025433.1
mycobacterium_smegmatis_mc2_155_Contig_1.1	NC_026585.1
mycobacterium_smegmatis_mc2_155_Contig_1.1	NC_026585.1
mycobacterium_tuberculosis_cdc1551_null	NC_021334.1
mycobacterium_tuberculosis_cdc1551_null	NC_021334.1
mycobacterium_tuberculosis_cdc1551_null	NC_023580.1
mycobacterium_tuberculosis_cdc1551_null	NC_023580.1
mycobacterium_tuberculosis_f11_AAIX02000001	NC_021334.1
mycobacterium_tuberculosis_f11_AAIX02000001	NC_021334.1
mycobacterium_tuberculosis_f11_AAIX02000001	NC_023580.1
mycobacterium_tuberculosis_f11_AAIX02000001	NC_023580.1
mycobacterium_tuberculosis_h37ra_Contig_1.1	NC_021334.1
mycobacterium_tuberculosis_h37ra_Contig_1.1	NC_021334.1
mycobacterium_tuberculosis_h37ra_Contig_1.1	NC_023580.1
mycobacterium_tuberculosis_h37ra_Contig_1.1	NC_023580.1
NC_000962.3	NC_021334.1
NC_000962.3	NC_023580.1
NC_009338.1	NC_011273.1
NC_018612.1	JF704114.1
NC_018612.1	KF279418.2
NC_018612.1	KM101119.1
NC_018612.1	KM233454.1
NC_018612.1	KP027202.1
NC_018612.1	KU578077.1
NC_018612.1	KU984914.1
NC_018612.1	KU985091.1
NC_018612.1	KX458237.1
NC_018612.1	KX507362.1
NC_018612.1	NC_021307.1
NC_018612.1	NC_021535.1
NC_018612.1	NC_023609.1
NC_018612.1	NC_026591.1
NC_018612.1	NC_028757.1
NC_018612.1	NC_028798.1
